CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real
15.57570;0.00;18.100;0;0.5800;5.9260;71.00;2.9084;24;666.0;20.20;368.74;18.13
0.31533;0.00;6.200;0;0.5040;8.2660;78.30;2.8944;8;307.0;17.40;385.05;4.14
0.03961;0.00;5.190;0;0.5150;6.0370;34.50;5.9853;5;224.0;20.20;396.90;8.01
7.05042;0.00;18.100;0;0.6140;6.1030;85.10;2.0218;24;666.0;20.20;2.52;23.29
9.18702;0.00;18.100;0;0.7000;5.5360;100.00;1.5804;24;666.0;20.20;396.90;23.60
0.66351;20.00;3.970;0;0.6470;7.3330;100.00;1.8946;5;264.0;13.00;383.29;7.79
11.95110;0.00;18.100;0;0.6590;5.6080;100.00;1.2852;24;666.0;20.20;332.09;12.13
24.80170;0.00;18.100;0;0.6930;5.3490;96.00;1.7028;24;666.0;20.20;396.90;19.77
0.32264;0.00;21.890;0;0.6240;5.9420;93.50;1.9669;4;437.0;21.20;378.25;16.90
15.17720;0.00;18.100;0;0.7400;6.1520;100.00;1.9142;24;666.0;20.20;9.32;26.45
15.86030;0.00;18.100;0;0.6790;5.8960;95.40;1.9096;24;666.0;20.20;7.68;24.39
1.15172;0.00;8.140;0;0.5380;5.7010;95.00;3.7872;4;307.0;21.00;358.77;18.35
0.14455;12.50;7.870;0;0.5240;6.1720;96.10;5.9505;5;311.0;15.20;396.90;19.15
0.04301;80.00;1.910;0;0.4130;5.6630;21.90;10.5857;4;334.0;22.00;382.80;8.05
0.13554;12.50;6.070;0;0.4090;5.5940;36.80;6.4980;4;345.0;18.90;396.90;13.09
0.06211;40.00;1.250;0;0.4290;6.4900;44.40;8.7921;1;335.0;19.70;396.90;5.98
1.62864;0.00;21.890;0;0.6240;5.0190;100.00;1.4394;4;437.0;21.20;396.90;34.41
0.03113;0.00;4.390;0;0.4420;6.0140;48.50;8.0136;3;352.0;18.80;385.64;10.53
11.81230;0.00;18.100;0;0.7180;6.8240;76.50;1.7940;24;666.0;20.20;48.45;22.74
0.07013;0.00;13.890;0;0.5500;6.6420;85.10;3.4211;5;276.0;16.40;392.78;9.69
0.14030;22.00;5.860;0;0.4310;6.4870;13.00;7.3967;7;330.0;19.10;396.28;5.90
0.11027;25.00;5.130;0;0.4530;6.4560;67.80;7.2255;8;284.0;19.70;396.90;6.73
6.80117;0.00;18.100;0;0.7130;6.0810;84.40;2.7175;24;666.0;20.20;396.90;14.70
0.17134;0.00;10.010;0;0.5470;5.9280;88.20;2.4631;6;432.0;17.80;344.91;15.76
0.07151;0.00;4.490;0;0.4490;6.1210;56.80;3.7476;3;247.0;18.50;395.15;8.44
1.23247;0.00;8.140;0;0.5380;6.1420;91.70;3.9769;4;307.0;21.00;396.90;18.72
0.09378;12.50;7.870;0;0.5240;5.8890;39.00;5.4509;5;311.0;15.20;390.50;15.71
0.12083;0.00;2.890;0;0.4450;8.0690;76.00;3.4952;2;276.0;18.00;396.90;4.21
13.52220;0.00;18.100;0;0.6310;3.8630;100.00;1.5106;24;666.0;20.20;131.42;13.33
6.71772;0.00;18.100;0;0.7130;6.7490;92.60;2.3236;24;666.0;20.20;0.32;17.44
12.80230;0.00;18.100;0;0.7400;5.8540;96.60;1.8956;24;666.0;20.20;240.52;23.79
4.75237;0.00;18.100;0;0.7130;6.5250;86.50;2.4358;24;666.0;20.20;50.92;18.13
4.66883;0.00;18.100;0;0.7130;5.9760;87.90;2.5806;24;666.0;20.20;10.48;19.01
0.22212;0.00;10.010;0;0.5470;6.0920;95.40;2.5480;6;432.0;17.80;396.90;17.09
0.18836;0.00;6.910;0;0.4480;5.7860;33.30;5.1004;3;233.0;17.90;396.90;14.15
0.14150;0.00;6.910;0;0.4480;6.1690;6.60;5.7209;3;233.0;17.90;383.37;5.81
1.34284;0.00;19.580;0;0.6050;6.0660;100.00;1.7573;5;403.0;14.70;353.89;6.43
0.04337;21.00;5.640;0;0.4390;6.1150;63.00;6.8147;4;243.0;16.80;393.97;9.43
0.61470;0.00;6.200;0;0.5070;6.6180;80.80;3.2721;8;307.0;17.40;396.90;7.60
0.10574;0.00;27.740;0;0.6090;5.9830;98.80;1.8681;4;711.0;20.10;390.11;18.07
14.42080;0.00;18.100;0;0.7400;6.4610;93.30;2.0026;24;666.0;20.20;27.49;18.05
0.28955;0.00;10.590;0;0.4890;5.4120;9.80;3.5875;4;277.0;18.60;348.93;29.55
0.06724;0.00;3.240;0;0.4600;6.3330;17.20;5.2146;4;430.0;16.90;375.21;7.34
0.26838;0.00;9.690;0;0.5850;5.7940;70.60;2.8927;6;391.0;19.20;396.90;14.10
1.49632;0.00;19.580;0;0.8710;5.4040;100.00;1.5916;5;403.0;14.70;341.60;13.28
0.53412;20.00;3.970;0;0.6470;7.5200;89.40;2.1398;5;264.0;13.00;388.37;7.26
0.06664;0.00;4.050;0;0.5100;6.5460;33.10;3.1323;5;296.0;16.60;390.96;5.33
67.92080;0.00;18.100;0;0.6930;5.6830;100.00;1.4254;24;666.0;20.20;384.97;22.98
4.83567;0.00;18.100;0;0.5830;5.9050;53.20;3.1523;24;666.0;20.20;388.22;11.45
1.46336;0.00;19.580;0;0.6050;7.4890;90.80;1.9709;5;403.0;14.70;374.43;1.73
18.81100;0.00;18.100;0;0.5970;4.6280;100.00;1.5539;24;666.0;20.20;28.79;34.37
0.05083;0.00;5.190;0;0.5150;6.3160;38.10;6.4584;5;224.0;20.20;389.71;5.68
0.55778;0.00;21.890;0;0.6240;6.3350;98.20;2.1107;4;437.0;21.20;394.67;16.96
0.21124;12.50;7.870;0;0.5240;5.6310;100.00;6.0821;5;311.0;15.20;386.63;29.93
0.05561;70.00;2.240;0;0.4000;7.0410;10.00;7.8278;5;358.0;14.80;371.58;4.74
2.37857;0.00;18.100;0;0.5830;5.8710;41.90;3.7240;24;666.0;20.20;370.73;13.34
0.09164;0.00;10.810;0;0.4130;6.0650;7.80;5.2873;4;305.0;19.20;390.91;5.52
0.22188;20.00;6.960;1;0.4640;7.6910;51.80;4.3665;3;223.0;18.60;390.77;6.58
9.39063;0.00;18.100;0;0.7400;5.6270;93.90;1.8172;24;666.0;20.20;396.90;22.88
0.10290;30.00;4.930;0;0.4280;6.3580;52.90;7.0355;6;300.0;16.60;372.75;11.22
0.03445;82.50;2.030;0;0.4150;6.1620;38.40;6.2700;2;348.0;14.70;393.77;7.43
0.06076;0.00;11.930;0;0.5730;6.9760;91.00;2.1675;1;273.0;21.00;396.90;5.64
0.08829;12.50;7.870;0;0.5240;6.0120;66.60;5.5605;5;311.0;15.20;395.60;12.43
6.65492;0.00;18.100;0;0.7130;6.3170;83.00;2.7344;24;666.0;20.20;396.90;13.99
0.06151;0.00;5.190;0;0.5150;5.9680;58.50;4.8122;5;224.0;20.20;396.90;9.29
0.08187;0.00;2.890;0;0.4450;7.8200;36.90;3.4952;2;276.0;18.00;393.53;3.57
0.12932;0.00;13.920;0;0.4370;6.6780;31.10;5.9604;4;289.0;16.00;396.90;6.27
2.24236;0.00;19.580;0;0.6050;5.8540;91.80;2.4220;5;403.0;14.70;395.11;11.64
0.35233;0.00;21.890;0;0.6240;6.4540;98.40;1.8498;4;437.0;21.20;394.08;14.59
